intertidal_sitename,cbsLat,cbsLong,georegion,bioregion,State_Province,Island,MPA_name,MPA_designation,NMS_name,ASBS_name,site_code,survey_rep,year,species_lump,total_count,number_of_transects,est_swath_area_searched_m2,density_per_m2
Cayucos,35.44747093,-120.9500899,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,30,3,2017,Pisaster ochraceus,0,11,559.5,0
Hazards,35.28962426,-120.8832727,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,31,1,2001,Pisaster ochraceus,42,11,1097,0.038286235
Hazards,35.28962426,-120.8832727,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,31,2,2005,Pisaster ochraceus,76,11,1107,0.06865402
Hazards,35.28962426,-120.8832727,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,31,3,2017,Pisaster ochraceus,107,11,1117,0.095792301
Hazards,35.28962426,-120.8832727,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,31,4,2018,Pisaster ochraceus,84,6,616,0.136363636
Hazards,35.28962426,-120.8832727,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,31,5,2019,Pisaster ochraceus,81,6,566,0.143109541
Shell Beach,35.16883443,-120.6967476,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,32,1,2001,Pisaster ochraceus,7,11,759.32,0.009218775
Shell Beach,35.16883443,-120.6967476,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,32,2,2006,Pisaster ochraceus,16,11,750,0.021333333
Shell Beach,35.16883443,-120.6967476,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,32,3,2019,Pisaster ochraceus,2,11,752,0.002659575
Stairs,34.73061767,-120.6151566,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,33,1,2001,Pisaster ochraceus,86,11,1061,0.081055608
Stairs,34.73061767,-120.6151566,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,33,2,2003,Pisaster ochraceus,58,11,1259,0.046068308
Stairs,34.73061767,-120.6151566,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,33,3,2004,Pisaster ochraceus,11,11,1027,0.010710808
Stairs,34.73061767,-120.6151566,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,33,4,2017,Pisaster ochraceus,64,11,1093,0.058554437
Government Point,34.4424,-120.4563889,CA South,San Francisco to Government Point,California,Mainland,Point Conception SMR,SMR,,,35,1,2001,Pisaster ochraceus,126,11,532,0.236842105
Government Point,34.4424,-120.4563889,CA South,San Francisco to Government Point,California,Mainland,Point Conception SMR,SMR,,,35,2,2006,Pisaster ochraceus,244,11,581,0.419965577
Government Point,34.4424,-120.4563889,CA South,San Francisco to Government Point,California,Mainland,Point Conception SMR,SMR,,,35,3,2016,Pisaster ochraceus,41,11,559,0.073345259
Government Point,34.4424,-120.4563889,CA South,San Francisco to Government Point,California,Mainland,Point Conception SMR,SMR,,,35,4,2019,Pisaster ochraceus,17,11,580.5,0.029285099
Boat House,34.55415253,-120.6115084,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,36,1,2001,Pisaster ochraceus,28,11,407.2,0.068762279
Boat House,34.55415253,-120.6115084,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,36,2,2007,Pisaster ochraceus,50,11,401.2,0.124626122
Boat House,34.55415253,-120.6115084,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,36,3,2017,Pisaster ochraceus,13,11,398.8,0.032597793
Boat House,34.55415253,-120.6115084,CA Central,San Francisco to Government Point,California,Mainland,.,reference,,,36,4,2020,Pisaster ochraceus,23,11,401.2,0.057328016
Arroyo Hondo,34.47330773,-120.1453901,CA South,Government Point to Mexico,California,Mainland,,reference,,,37,1,2001,Pisaster ochraceus,9,11,426.8,0.02108716
Arroyo Hondo,34.47330773,-120.1453901,CA South,Government Point to Mexico,California,Mainland,,reference,,,37,2,2005,Pisaster ochraceus,93,11,444,0.20945946
Arroyo Hondo,34.47330773,-120.1453901,CA South,Government Point to Mexico,California,Mainland,,reference,,,37,5,2016,Pisaster ochraceus,1,11,440.4,0.002270663
Arroyo Hondo,34.47330773,-120.1453901,CA South,Government Point to Mexico,California,Mainland,,reference,,,37,6,2016,Pisaster ochraceus,7,21,653.6,0.010709914
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,1,2001,Pisaster ochraceus,20,11,817.32,0.02447022
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,2,2003,Pisaster ochraceus,58,11,836.62,0.069326576
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,3,2004,Pisaster ochraceus,63,11,829.3,0.075967684
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4,2012,Pisaster ochraceus,23,11,718.66,0.032004008
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.1,2015,Pisaster ochraceus,2,21,1233.5,0.001621403
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,4.2,2015,Pisaster ochraceus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5,2015,Pisaster ochraceus,3,21,1155,0.002597403
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,5.1,2015,Pisaster ochraceus,0,21,1155,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,6,2016,Pisaster ochraceus,1,11,774,0.00129199
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,7,2016,Pisaster ochraceus,0,21,1233.5,0
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,8,2016,Pisaster ochraceus,1,21,1164,0.000859107
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,9,2017,Pisaster ochraceus,7,21,1234,0.005672609
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,10,2018,Pisaster ochraceus,2,21,1236.5,0.001617469
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,11,2019,Pisaster ochraceus,7,21,1245,0.00562249
Alegria,34.46713695,-120.278178,CA South,Government Point to Mexico,California,Mainland,,reference,,,38,12,2019,Pisaster ochraceus,2,21,1245,0.001606426
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,1,2002,Pisaster ochraceus,1,11,1100,0.000909091
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,2,2006,Pisaster ochraceus,2,11,1100,0.001818182
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,3,2012,Pisaster ochraceus,1,11,1100,0.000909091
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,4.1,2014,Pisaster ochraceus,2,21,1763,0.00113443
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,4.2,2015,Pisaster ochraceus,2,21,1978.5,0.001010867
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,4.3,2015,Pisaster ochraceus,1,21,1978.5,0.000505433
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,4.4,2015,Pisaster ochraceus,3,21,1891.5,0.001586043
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,5,2015,Pisaster ochraceus,1,21,1891.5,0.000528681
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,6.1,2015,Pisaster ochraceus,1,21,1891.5,0.000528681
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,6.2,2015,Pisaster ochraceus,1,21,1440,0.000694444
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,6.3,2016,Pisaster ochraceus,2,21,1891.5,0.001057362
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,7,2016,Pisaster ochraceus,2,11,1100,0.001818182
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,8,2016,Pisaster ochraceus,1,21,1891.5,0.000528681
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,9,2016,Pisaster ochraceus,1,21,2337.7,0.000427771
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,10,2016,Pisaster ochraceus,2,21,1891.5,0.001057362
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,11,2017,Pisaster ochraceus,1,21,2347,0.000426076
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,12,2018,Pisaster ochraceus,0,21,1891.5,0
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,13,2018,Pisaster ochraceus,0,21,2347,0
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,14,2019,Pisaster ochraceus,0,21,2347,0
Coal Oil Point,34.40685962,-119.8782861,CA South,Government Point to Mexico,California,Mainland,Campus Point SMCA,SMCA,,,39,15,2019,Pisaster ochraceus,0,21,2347,0
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,1,2001,Pisaster ochraceus,60,11,1104,0.054347826
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,2,2012,Pisaster ochraceus,128,11,1050,0.121904762
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,3,2014,Pisaster ochraceus,59,11,868.4,0.067941041
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,3.1,2015,Pisaster ochraceus,5,1,82,0.06097561
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,3.2,2015,Pisaster ochraceus,1,1,78,0.012820513
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,3.3,2016,Pisaster ochraceus,0,1,82,0
Carpinteria,34.3870373,-119.5140849,CA South,Government Point to Mexico,California,Mainland,,reference,,,40,4,2019,Pisaster ochraceus,0,11,1074,0
Mussel Shoals,34.35556519,-119.4407411,CA South,Government Point to Mexico,California,Mainland,,reference,,,41,1,2001,Pisaster ochraceus,47,11,452,0.103982301
Mussel Shoals,34.35556519,-119.4407411,CA South,Government Point to Mexico,California,Mainland,,reference,,,41,2.1,2015,Pisaster ochraceus,18,11,440,0.040909091
Mussel Shoals,34.35556519,-119.4407411,CA South,Government Point to Mexico,California,Mainland,,reference,,,41,3,2016,Pisaster ochraceus,21,11,440,0.047727273
Mussel Shoals,34.35556519,-119.4407411,CA South,Government Point to Mexico,California,Mainland,,reference,,,41,4,2016,Pisaster ochraceus,32,11,440,0.072727273
Old Stairs,34.06622392,-118.9980981,CA South,Government Point to Mexico,California,Mainland,,reference,,Mugu Lagoon to Latigo Point ASBS,42,1,2001,Pisaster ochraceus,204,11,513.2,0.397505846
Old Stairs,34.06622392,-118.9980981,CA South,Government Point to Mexico,California,Mainland,,reference,,Mugu Lagoon to Latigo Point ASBS,42,2,2008,Pisaster ochraceus,57,11,230.8,0.246967071
Old Stairs,34.06622392,-118.9980981,CA South,Government Point to Mexico,California,Mainland,,reference,,Mugu Lagoon to Latigo Point ASBS,42,3,2013,Pisaster ochraceus,51,11,395.2,0.129048583
Old Stairs,34.06622392,-118.9980981,CA South,Government Point to Mexico,California,Mainland,,reference,,Mugu Lagoon to Latigo Point ASBS,42,4,2019,Pisaster ochraceus,10,11,385.2,0.02596054
Paradise Cove,34.01200461,-118.7921418,CA South,Government Point to Mexico,California,Mainland,Point Dume SMR,SMR,,Mugu Lagoon to Latigo Point ASBS,43,1,2001,Pisaster ochraceus,88,11,234.2,0.375747225
Paradise Cove,34.01200461,-118.7921418,CA South,Government Point to Mexico,California,Mainland,Point Dume SMR,SMR,,Mugu Lagoon to Latigo Point ASBS,43,2,2006,Pisaster ochraceus,52,11,238.6,0.217937972
Paradise Cove,34.01200461,-118.7921418,CA South,Government Point to Mexico,California,Mainland,Point Dume SMR,SMR,,Mugu Lagoon to Latigo Point ASBS,43,3,2010,Pisaster ochraceus,86,11,232,0.370689655
Paradise Cove,34.01200461,-118.7921418,CA South,Government Point to Mexico,California,Mainland,Point Dume SMR,SMR,,Mugu Lagoon to Latigo Point ASBS,43,4,2013,Pisaster ochraceus,27,11,236.4,0.114213198
Paradise Cove,34.01200461,-118.7921418,CA South,Government Point to Mexico,California,Mainland,Point Dume SMR,SMR,,Mugu Lagoon to Latigo Point ASBS,43,5,2018,Pisaster ochraceus,2,11,217.8,0.009182737
White Point,33.71572996,-118.3199888,CA South,Government Point to Mexico,California,Mainland,,reference,,,44,1,2001,Pisaster ochraceus,293,11,542,0.540590406
White Point,33.71572996,-118.3199888,CA South,Government Point to Mexico,California,Mainland,,reference,,,44,2,2008,Pisaster ochraceus,125,11,305,0.409836066
White Point,33.71572996,-118.3199888,CA South,Government Point to Mexico,California,Mainland,,reference,,,44,3,2018,Pisaster ochraceus,1,11,520,0.001923077
Point Fermin,33.70679,-118.2861416,CA South,Government Point to Mexico,California,Mainland,,reference,,,45,1,2001,Pisaster ochraceus,11,11,967,0.011375388
Point Fermin,33.70679,-118.2861416,CA South,Government Point to Mexico,California,Mainland,,reference,,,45,2,2012,Pisaster ochraceus,1,11,983,0.001017294
Point Fermin,33.70679,-118.2861416,CA South,Government Point to Mexico,California,Mainland,,reference,,,45,3,2019,Pisaster ochraceus,0,11,988,0
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,1,2001,Pisaster ochraceus,9,11,715.3,0.012582133
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,2,2003,Pisaster ochraceus,83,11,788.64,0.105244472
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,3,2004,Pisaster ochraceus,54,11,763.32,0.070743594
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,4,2012,Pisaster ochraceus,99,11,791.3,0.125110578
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,5,2014,Pisaster ochraceus,177,11,789.32,0.224243653
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,5.1,2014,Pisaster ochraceus,2,21,1239,0.001614205
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,5.2,2015,Pisaster ochraceus,9,21,1249,0.007205765
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,5.3,2015,Pisaster ochraceus,8,21,1249,0.006405124
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,5.4,2016,Pisaster ochraceus,1,21,1249,0.000800641
Crystal Cove,33.57086424,-117.8378515,CA South,Government Point to Mexico,California,Mainland,Crystal Cove SMCA,SMCA,,Irvine Coast Marine Life Refuge ASBS,46,6,2018,Pisaster ochraceus,5,11,792.66,0.006307875
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,1,2001,Pisaster ochraceus,1,11,271.8,0.003679176
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,2,2005,Pisaster ochraceus,16,11,301,0.053156146
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,3,2012,Pisaster ochraceus,23,11,299.2,0.076871658
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,4,2014,Pisaster ochraceus,32,11,293,0.109215017
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,4.1,2014,Pisaster ochraceus,0,21,446.5,0
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,4.2,2015,Pisaster ochraceus,0,21,446.5,0
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,4.3,2015,Pisaster ochraceus,0,21,446.5,0
Shaws Cove,33.54472981,-117.7997367,CA South,Government Point to Mexico,California,Mainland,Laguna Beach SMR,SMR,,,47,5,2017,Pisaster ochraceus,0,21,431.5,0
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,1,2001,Pisaster ochraceus,1,11,602,0.00166113
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,2,2006,Pisaster ochraceus,6,11,623.5,0.009623095
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,3,2010,Pisaster ochraceus,8,11,628.5,0.012728719
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,4,2013,Pisaster ochraceus,5,11,631.5,0.007917656
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,5,2018,Pisaster ochraceus,0,11,632,0
Dana Point,33.45994097,-117.7146129,CA South,Government Point to Mexico,California,Mainland,Dana Point SMCA,SMCA,,,48,6,2020,Pisaster ochraceus,0,11,632.5,0
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,1,2002,Pisaster ochraceus,5,11,969.6,0.005156766
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,2,2006,Pisaster ochraceus,23,11,950.4,0.024200337
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,3,2010,Pisaster ochraceus,187,11,956.8,0.195443144
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,4,2013,Pisaster ochraceus,64,11,1053.6,0.060744115
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,5,2014,Pisaster ochraceus,34,11,856.4,0.039701074
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,6,2014,Pisaster ochraceus,54,11,1000,0.054
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,7,2014,Pisaster ochraceus,19,21,1214.5,0.015644298
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,8,2014,Pisaster ochraceus,8,11,836,0.009569378
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,9,2015,Pisaster ochraceus,11,21,1473.5,0.007465219
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,10,2015,Pisaster ochraceus,5,21,1473.5,0.003393281
Scripps Reef,32.87139522,-117.2532103,CA South,Government Point to Mexico,California,Mainland,San Diego-Scripps Coastal SMCA,SMCA,,San Diego Marine Life Refuge ASBS,49,11,2020,Pisaster ochraceus,0,11,1010.4,0
Cabrillo I,32.66943401,-117.2454143,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,50,4,2013,Pisaster ochraceus,0,11,888.8,0
Cabrillo I,32.66943401,-117.2454143,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,50,5,2014,Pisaster ochraceus,0,11,470.2,0
Cabrillo I,32.66943401,-117.2454143,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,50,6,2020,Pisaster ochraceus,0,11,852,0
Cabrillo III,32.66489852,-117.2428179,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,51,1,2002,Pisaster ochraceus,0,11,1550.4,0
Cabrillo III,32.66489852,-117.2428179,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,51,2,2012,Pisaster ochraceus,0,11,1220,0
Cabrillo III,32.66489852,-117.2428179,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,51,3,2014,Pisaster ochraceus,0,11,1219.2,0
Cabrillo III,32.66489852,-117.2428179,CA South,Government Point to Mexico,California,Mainland,Cabrillo SMR,SMR,,,51,4,2017,Pisaster ochraceus,0,11,1217.6,0
Damnation Creek,41.65301224,-124.1301293,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,Redwood NP ASBS,52,1,2004,Pisaster ochraceus,1112,11,1100,1.010909091
Damnation Creek,41.65301224,-124.1301293,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,Redwood NP ASBS,52,2,2015,Pisaster ochraceus,126,11,1100,0.114545455
Damnation Creek,41.65301224,-124.1301293,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,Redwood NP ASBS,52,3,2017,Pisaster ochraceus,197,11,1100,0.179090909
Damnation Creek,41.65301224,-124.1301293,CA North,WA Olympic Coast to San Francisco,California,Mainland,,,,Redwood NP ASBS,52,4,2019,Pisaster ochraceus,224,6,406,0.551724138
Stornetta,38.93786886,-123.729021,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Sea Lion Cove SMCA,SMCA,,,53,1,2004,Pisaster ochraceus,12,11,754,0.015915119
Stornetta,38.93786886,-123.729021,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Sea Lion Cove SMCA,SMCA,,,53,2,2007,Pisaster ochraceus,8,11,744,0.010752688
Stornetta,38.93786886,-123.729021,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Sea Lion Cove SMCA,SMCA,,,53,3,2016,Pisaster ochraceus,2,11,748,0.002673797
Partington Cove,36.17370171,-121.6965956,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,Julia Pfeiffer Burns Underwater Park ASBS,54,1,2003,Pisaster ochraceus,37,11,120.7,0.306545153
Partington Cove,36.17370171,-121.6965956,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,Julia Pfeiffer Burns Underwater Park ASBS,54,2,2004,Pisaster ochraceus,27,11,119.9,0.225187656
Lucia,36.01438333,-121.5405,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,55,1,2004,Pisaster ochraceus,132,9,97.6,1.352459016
Duck Pond,35.85918044,-121.4224883,CA Central,San Francisco to Government Point,California,Mainland,.,reference,Monterey Bay NMS,,56,1,2003,Pisaster ochraceus,1,11,232.8,0.004295533
Mussel Flat Farallones,37.6959,-123.0029,CA North Central,San Francisco to Government Point,California,Southeast Farallon,Southeast Farallon Island Special Closure,SC,Gulf of the Farallones NMS,Farallon Islands ASBS,57,1,2005,Pisaster ochraceus,41,11,381.9,0.107357947
Mussel Flat Farallones,37.6959,-123.0029,CA North Central,San Francisco to Government Point,California,Southeast Farallon,Southeast Farallon Island Special Closure,SC,Gulf of the Farallones NMS,Farallon Islands ASBS,57,2,2017,Pisaster ochraceus,9,11,363,0.024793388
Bolinas Point Wreck,37.90261667,-122.7242,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,59,1,2005,Pisaster ochraceus,49,6,1434,0.034170153
Bolinas Point Wreck,37.90261667,-122.7242,CA North Central,WA Olympic Coast to San Francisco,California,Mainland,Duxbury Reef SMCA,SMCA,Gulf of the Farallones NMS,Duxbury Reef Reserve and Extension ASBS,59,2,2005,Pisaster ochraceus,26,11,2350,0.01106383
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,1,2007,Pisaster ochraceus,227,11,436,0.520642202
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,2,2014,Pisaster ochraceus,0,21,661,0
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,3,2014,Pisaster ochraceus,47,11,370,0.127027027
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,4,2015,Pisaster ochraceus,47,21,661,0.071104387
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,5,2015,Pisaster ochraceus,14,21,516.25,0.027118644
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,6,2015,Pisaster ochraceus,200,21,524.75,0.381133873
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,7,2016,Pisaster ochraceus,162,21,529.25,0.306093529
Lompoc Landing,34.71905679,-120.6087994,CA Central,San Francisco to Government Point,California,Mainland,Vandenberg SMR,SMR,,,60,8,2016,Pisaster ochraceus,216,21,515.75,0.418807562
